legacy_location,owner,basis
ABERDEEN STREET,Distribution,owner W8 card A 2026-09-13
ADEX MINERALS,Transmission,owner W8 card A 2026-09-13
ALLARDVILLE SS,Transmission,owner W8 card A 2026-09-13
ATLANTIC WALLBOARD,Distribution,owner W8 card A 2026-09-13
AVCELL,Transmission,owner W8 card A 2026-09-13
BAIG BOULEVARD,Distribution,owner W8 card A 2026-09-13
BARKERS POINT,Distribution,owner W8 card A 2026-09-13
BATHURST SOUTH,Distribution,owner W8 card A 2026-09-13
BATHURST TERMINAL,Transmission,owner W8 card A 2026-09-13
BATHURST WEST,Distribution,owner W8 card A 2026-09-13
BATHURST WEST SS,Distribution,owner W8 card A 2026-09-13
BAYSIDE DRIVE,Distribution,owner W8 card A 2026-09-13
BAYSIDE PLANT,Generation,owner W8 card A 2026-09-13
BEECHWOOD PLANT SS,Generation,owner W8 card A 2026-09-13
BEECHWOOD PLANT TERMINAL,Transmission,owner W8 card A 2026-09-13
BEECHWOOD PLANT UNIT 1,Generation,owner W8 card A 2026-09-13
BEECHWOOD PLANT UNIT 2,Generation,owner W8 card A 2026-09-13
BEECHWOOD PLANT UNIT 3,Generation,owner W8 card A 2026-09-13
BELLEDUNE FERTILIZER,Distribution,owner W8 card A 2026-09-13
BELLEDUNE PLANT,Generation,owner W8 card A 2026-09-13
BELLEDUNE SUB,Distribution,owner W8 card A 2026-09-13
BELLEDUNE TERMINAL,Transmission,owner W8 card A 2026-09-13
BOURQUE ROAD,Distribution,owner W8 card A 2026-09-13
BOWATER MARITIME,Transmission,owner W8 card A 2026-09-13
BROOKVILLE SS,Distribution,owner W8 card A 2026-09-13
BRUNSWICK M & S MINES,Distribution,owner W8 card A 2026-09-13
BRUNSWICK M & S SMELTER,Distribution,owner W8 card A 2026-09-13
BUCTOUCHE WEST,Distribution,owner W8 card A 2026-09-13
BURPEE BROOK,Distribution,owner W8 card A 2026-09-13
CALEDONIA ROAD,Distribution,owner W8 card A 2026-09-13
CAMP GAGETOWN,Distribution,owner W8 card A 2026-09-13
CAMPOBELLO,Distribution,owner W8 card A 2026-09-13
CANADA LIQUID AIR,Transmission,owner W8 card A 2026-09-13
CAP PELE,Distribution,owner W8 card A 2026-09-13
CARAQUET,Distribution,owner W8 card A 2026-09-13
CARAQUET TERMINAL,Transmission,owner W8 card A 2026-09-13
CARIBOU MINES,Transmission,owner W8 card A 2026-09-13
CARLETON STREET,Distribution,owner W8 card A 2026-09-13
CEDAR STREET,Distribution,owner W8 card A 2026-09-13
CHIEF FUELS,Distribution,owner W8 card A 2026-09-13
CHOCOLATE COVE,Transmission,owner W8 card A 2026-09-13
CHURCH STREET,Distribution,owner W8 card A 2026-09-13
CLAIR,Distribution,owner W8 card A 2026-09-13
COAL CREEK,Distribution,owner W8 card A 2026-09-13
COCAGNE,Distribution,owner W8 card A 2026-09-13
COLESON COVE PLANT,Generation,owner W8 card A 2026-09-13
COLESON COVE TERMINAL,Transmission,owner W8 card A 2026-09-13
COLESON COVE UNIT 1,Generation,owner W8 card A 2026-09-13
COLESON COVE UNIT 2,Generation,owner W8 card A 2026-09-13
COLESON COVE UNIT 3,Generation,owner W8 card A 2026-09-13
COLLEGE BRIDGE,Distribution,owner W8 card A 2026-09-13
COMMERCIAL STREET,Distribution,owner W8 card A 2026-09-13
CONNELL STREET,Distribution,owner W8 card A 2026-09-13
CONSOLIDATED BATHURST,Transmission,owner W8 card A 2026-09-13
CORMIER VILLAGE,Distribution,owner W8 card A 2026-09-13
COURTENAY BAY PLANT,Generation,owner W8 card A 2026-09-13
COURTENAY BAY TERMINAL,Transmission,owner W8 card A 2026-09-13
COURTENAY BAY UNIT 1,Generation,owner W8 card A 2026-09-13
COURTENAY BAY UNIT 2,Generation,owner W8 card A 2026-09-13
COURTENAY BAY UNIT 3,Generation,owner W8 card A 2026-09-13
COURTENAY BAY UNIT 4,Generation,owner W8 card A 2026-09-13
CRANSTON AVENUE,Transmission,owner W8 card A 2026-09-13
CROWN STREET,Distribution,owner W8 card A 2026-09-13
DALHOUSIE TERMINAL,Transmission,owner W8 card A 2026-09-13
DALHOUSIE TOWN 138,Distribution,owner W8 card A 2026-09-13
DEER ISLAND,Transmission,owner W8 card A 2026-09-13
DEERWOOD DRIVE,Distribution,owner W8 card A 2026-09-13
DENISON POTOCAN,Transmission,owner W8 card A 2026-09-13
DEVER ROAD,Distribution,owner W8 card A 2026-09-13
DEVON,Distribution,owner W8 card A 2026-09-13
DIEPPE INDUSTRIAL PARK,Distribution,owner W8 card A 2026-09-13
DOAKTOWN,Distribution,owner W8 card A 2026-09-13
DOMTAR,Distribution,owner W8 card A 2026-09-13
DORCHESTER CAPE,Distribution,owner W8 card A 2026-09-13
DOUGLASTOWN,Distribution,owner W8 card A 2026-09-13
DRUMMOND STREET,Distribution,owner W8 card A 2026-09-13
EDMUNDSTON EAST,Distribution,owner W8 card A 2026-09-13
EDMUNDSTON TERMINAL,Transmission,owner W8 card A 2026-09-13
EEL RIVER TERM 138,Transmission,owner W8 card A 2026-09-13
EEL RIVER TERM 230,Transmission,owner W8 card A 2026-09-13
EEL RIVER TERMINAL,Transmission,owner W8 card A 2026-09-13
ELLIOT ROAD,Distribution,owner W8 card A 2026-09-13
FAIRVALE,Distribution,owner W8 card A 2026-09-13
FLAKEBOARD,Distribution,owner W8 card A 2026-09-13
FLORENCEVILLE,Distribution,owner W8 card A 2026-09-13
FRASER INC. EDMUNDSTON,Transmission,owner W8 card A 2026-09-13
GLENCORE MINING AND SMELTING,Transmission,owner W8 card A 2026-09-13
GONDOLA POINT,Distribution,owner W8 card A 2026-09-13
GORDON ROAD,Distribution,owner W8 card A 2026-09-13
GRAND BAY,Distribution,owner W8 card A 2026-09-13
GRAND FALLS EAST,Distribution,owner W8 card A 2026-09-13
GRAND FALLS NORTH,Distribution,owner W8 card A 2026-09-13
GRAND FALLS SOUTH,Distribution,owner W8 card A 2026-09-13
GRAND FALLS TERMINAL,Transmission,owner W8 card A 2026-09-13
GRAND FALLS UNIT 1,Generation,owner W8 card A 2026-09-13
GRAND FALLS UNIT 2,Generation,owner W8 card A 2026-09-13
GRAND FALLS UNIT 3,Generation,owner W8 card A 2026-09-13
GRAND FALLS UNIT 4,Generation,owner W8 card A 2026-09-13
GRAND HARBOUR,Distribution,owner W8 card A 2026-09-13
GRAND LAKE TERMINAL,Transmission,owner W8 card A 2026-09-13
GRAND MANAN PLANT,Generation,owner W8 card A 2026-09-13
GRAND MANAN TERMINAL,Transmission,owner W8 card A 2026-09-13
GRAND MANAN UNIT 3,Generation,owner W8 card A 2026-09-13
GRAND MANAN UNIT 5,Generation,owner W8 card A 2026-09-13
GRAND MANAN UNIT 6,Generation,owner W8 card A 2026-09-13
GRAND MANAN UNIT 7,Generation,owner W8 card A 2026-09-13
GRAND MANAN UNIT 8,Generation,owner W8 card A 2026-09-13
GRANDVIEW AVE,Distribution,owner W8 card A 2026-09-13
GUNNINGSVILLE,Distribution,owner W8 card A 2026-09-13
HAMPTON 138,Distribution,owner W8 card A 2026-09-13
HARDY ROAD,Distribution,owner W8 card A 2026-09-13
HARTLAND NORTH,Distribution,owner W8 card A 2026-09-13
HOULTON WATER CO,Transmission,owner W8 card A 2026-09-13
HOWARD ROAD,Distribution,owner W8 card A 2026-09-13
IROQUOIS TERMINAL,Transmission,owner W8 card A 2026-09-13
IRVING PAPER,Transmission,owner W8 card A 2026-09-13
IRVING PULP AND PAPER,Transmission,owner W8 card A 2026-09-13
IRVING REFINERY SUB #2,Transmission,owner W8 card A 2026-09-13
IRVING REFINERY SUB #3,Transmission,owner W8 card A 2026-09-13
IRVING TISSUE,Transmission,owner W8 card A 2026-09-13
JEMSEG,Distribution,owner W8 card A 2026-09-13
KENT HILLS,Transmission,owner W8 card A 2026-09-13
KESWICK RIDGE,Distribution,owner W8 card A 2026-09-13
KESWICK TERMINAL,Transmission,owner W8 card A 2026-09-13
KINGSCLEAR,Distribution,owner W8 card A 2026-09-13
LAKE UTOPIA PAPER LTD,Transmission,owner W8 card A 2026-09-13
LAKESIDE,Distribution,owner W8 card A 2026-09-13
LAKEWOOD,Distribution,owner W8 card A 2026-09-13
LAMEQUE TERMINAL,Transmission,owner W8 card A 2026-09-13
LANCASTER TERMINAL,Transmission,owner W8 card A 2026-09-13
LITTLE WHALE COVE,Distribution,owner W8 card A 2026-09-13
LNG CANAPORT,Transmission,owner W8 card A 2026-09-13
LNG CONST. SUB,Transmission,owner W8 card A 2026-09-13
LOCH LOMOND,Distribution,owner W8 card A 2026-09-13
LONG EDDY POINT,Distribution,owner W8 card A 2026-09-13
MACTAQUAC PLANT SS,Generation,owner W8 card A 2026-09-13
MACTAQUAC PLANT TERMINAL,Transmission,owner W8 card A 2026-09-13
MACTAQUAC PLANT UNIT 1,Generation,owner W8 card A 2026-09-13
MACTAQUAC PLANT UNIT 2,Generation,owner W8 card A 2026-09-13
MACTAQUAC PLANT UNIT 3,Generation,owner W8 card A 2026-09-13
MACTAQUAC PLANT UNIT 4,Generation,owner W8 card A 2026-09-13
MACTAQUAC PLANT UNIT 5,Generation,owner W8 card A 2026-09-13
MACTAQUAC PLANT UNIT 6,Generation,owner W8 card A 2026-09-13
MANAWAGONISH ROAD,Distribution,owner W8 card A 2026-09-13
MARYSVILLE,Distribution,owner W8 card A 2026-09-13
MARYSVILLE TERMINAL,Transmission,owner W8 card A 2026-09-13
MCCULLY GAS,Transmission,owner W8 card A 2026-09-13
MEMRAMCOOK TERMINAL,Transmission,owner W8 card A 2026-09-13
MILLBANK PLANT SS,Generation,owner W8 card A 2026-09-13
MILLBANK PLANT TERMINAL,Transmission,owner W8 card A 2026-09-13
MILLBANK PLANT UNIT 1,Generation,owner W8 card A 2026-09-13
MILLBANK PLANT UNIT 2,Generation,owner W8 card A 2026-09-13
MILLBANK PLANT UNIT 3,Generation,owner W8 card A 2026-09-13
MILLBANK PLANT UNIT 4,Generation,owner W8 card A 2026-09-13
MILLIDGEVILLE 138,Distribution,owner W8 card A 2026-09-13
MILLTOWN PLANT,Generation,owner W8 card A 2026-09-13
MILLVILLE,Distribution,owner W8 card A 2026-09-13
MILLVILLE TERMINAL,Transmission,owner W8 card A 2026-09-13
MIRAMICHI P & P #1,Transmission,owner W8 card A 2026-09-13
MIRAMICHI P&P SOUTH NELSON,Transmission,owner W8 card A 2026-09-13
MOBILE #4,Transmission,owner W8 card A 2026-09-13
MOBILE 15MVA,Transmission,owner W8 card A 2026-09-13
MOBILE 35MVA,Transmission,owner W8 card A 2026-09-13
MONCTON,Distribution,owner W8 card A 2026-09-13
